COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,
3M Company,Science. Applied to life.,20,3M Company,Industrials,Industrial Conglomerates,4,
A&P,"At the A&P, we watch our P's and Q's.",30,A&P,Consumer Staples,,, 
Abbott Laboratories,Life. To the fullest.,35,Abbott Laboratories,Health Care,Health Care Equipment,4,
AbbVie,People. Passion. Possibilities.,35,AbbVie Inc.,Health Care,Pharmaceuticals,3,
ABN AMRO Bank , Making More Possible,40,,Financials,,,
Accenture plc,High performance. Delivered.,45,Accenture plc,Information Technology,IT Consulting & Other Services,3,
Activision Blizzard,We make Great Games,45,Activision Blizzard,Information Technology,Home Entertainment Software,4,
Adobe Systems Inc,A new experience in user experience.,45,Adobe Systems Inc,Information Technology,Application Software,6,
ADT Corp,Always There.,45,Advanced Micro Devices Inc,Information Technology,Semiconductors,2,
Advance Auto Parts,We’re Ready in Advance.,25,Advance Auto Parts,Consumer Discretionary,Automotive Retail,4,
Advertisements,It pays to advertise!,25,Advertisements,Consumer Discretionary,,,
AES Corp,The Power of being Global,10,AES Corp,Energy,Independent Power Producers & Energy Traders,5,
Aetna Inc,We want you to know.,35,Aetna Inc,Health Care,Managed Health Care,5,
Affiliated Managers Group Inc,A global asset under management,40,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,5,
AFLAC Inc,Ask about it at work.,40,AFLAC Inc,Financials,Life & Health Insurance,5,
Agilent Technologies Inc,The world’s premier measurement company.,35,Agilent Technologies Inc,Health Care,Health Care Equipment,5,
AGL Resources Inc.,Providing Tomorrow’s Energy.,55,AGL Resources Inc.,Utilities,,3,
AIG or American International Group Insurance Company , We know Money,40,,Financials,,,
Air Canada , A breath of Fresh Air,20,,Industrials,,,
Air India, Moving India Forward,20,,Industrials,,,
Air Products & Chemicals Inc,We are Air Products,15,Air Products & Chemicals Inc,Materials,Industrial Gases,4,
Air Sahara, EMOTIONALLY YOURS,20,,Industrials,,,
Airgas Inc,You’ll find it with us.,15,Airgas Inc,Materials,,5,
Airtel, Express Yourself,50,,Telecommunication Services,,,
AKAI, Land of rising technology,25,,Consumer Discretionary,,,
Akamai Technologies Inc,"In a faster forward world, innovation doesn’t wait for technology",45,Akamai Technologies Inc,Information Technology,Internet Software & Services,10,
Alcoa Inc,Inventing the future since 1888,15,Alcoa Inc,Materials,,5,
Alexion Pharmaceuticals,Transforming patients’ lives through innovation.,35,Alexion Pharmaceuticals,Health Care,Biotechnology,5,
Alka-Seltzer,Plop Plop Fizz Fizz. Oh what a relief it is.,35,Alka-Seltzer,Health Care,,,
Allegion,Pioneering safety around the world.,20,Allegion,Industrials,Building Products,5,
Allen Solly, Friday Dressing,25,,Consumer Discretionary,,,
Allergan plc,"Our pursuit, Life’s potential",35,Allergan plc,Health Care,,4,
Alliance Data Systems,All for Good. Good for All.,45,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,6,
Allianz Insurance, THE POWER ON YOUR SIDE,40,,Financials,,,
Allstate Corp,You’re in good hands.,40,Allstate Corp,Financials,Property & Casualty Insurance,4,
Alphabet Inc Class A,Don’t Be Evil.,45,Alphabet Inc Class A,Information Technology,Internet Software & Services,3,
Alphabet Inc Class C,Don’t Be Evil.,45,Alphabet Inc Class C,Information Technology,Internet Software & Services,3,
Altria Group Inc,We’re A Company Moving Forward,30,Altria Group Inc,Consumer Staples,Tobacco,5,
Amazon.com Inc,Work Hard. Have Fun. Make History.,25,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,6,
Ameren Corp,Focused Energy. For Life,55,Ameren Corp,Utilities,Multi-Utilities,4,
American Airlines Group,Going for great.,20,American Airlines Group,Industrials,Airlines,3,
American Electric Power,"AEP, America’s Energy Partner…",55,American Electric Power,Utilities,Electric Utilities,4,
American Express Co,Don’t Leave Home Without It,40,American Express Co,Financials,Consumer Finance,5,
"American International Group, Inc.",We know money.,40,"American International Group, Inc.",Financials,Property & Casualty Insurance,3,
American Tower Corp A,Where you want to be.,50,American Tower Corp A,Telecommunication Services,Specialized REITs,5,
American Water Works Company Inc,The Authoritative Resource on Safe Water,55,American Water Works Company Inc,Utilities,Water Utilities,6,
Ameriprise Financial,Be Brilliant,40,Ameriprise Financial,Financials,Asset Management & Custody Banks,2,
AmerisourceBergen Corp,Because It’s All Right Here.,35,AmerisourceBergen Corp,Health Care,Health Care Distributors,5,
Ametek,A Leading Global Manufacturer of Electronic Instruments and Electromechanical Devices,20,AMETEK Inc.,Industrials,Electrical Components & Equipment,10,
Amgen Inc,To Serve Patients.,35,Amgen Inc.,Health Care,Biotechnology,3,
Amphenol Corp A,Connecting tomorrow.,15,Amphenol Corp,Materials,Electronic Components,2,
Anadarko Petroleum Corp,Bringing Excellence to the Surface.,10,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,5,
"Analog Devices, Inc.",World leader in high performance signalprocessing.,45,"Analog Devices, Inc.",Information Technology,Semiconductors,7,
Anthem Inc.,"Together, we are transforming health care with trusted and caring solutions",35, ,Health Care,Managed Health Care,11,
Aon plc,Insure your vision.,40,Aon plc,Financials,Insurance Brokers,3,
Apache Corporation,Energy to Grow,10,Apache Corporation,Energy,Oil & Gas Exploration & Production,3,
Apartment Investment & Mgmt,America Comes Home to Aimco,60,Apartment Investment & Management,Real Estate,Residential REITs,5,
Apple Computer,Everything is easier on a Mac,45,Apple Inc.,Information Technology,,,
Apple Inc.,Think Different.,45,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2,
Apple Inc.,"Once you go Mac, you'll never go back.",45,Apple Inc.,Information Technology,,,
Applied Materials Inc,Apply it.,20,Applied Materials Inc.,Industrials,Semiconductor Equipment,2,
Arby's,I'm thinking Arby's.,25,Arby's,Consumer Discretionary,,,
ARCELOR , Steel solutions for a better world,15,,Materials,,,
Archer-Daniels-Midland Co,Resourceful by nature,55,Archer-Daniels-Midland Co,Utilities,Agricultural Products,3,
Assurant Inc,Assurant. On your terms.,40,Assurant Inc.,Financials,Multi-line Insurance,4,
AT&T , The World's Networking Company,50,,Telecommunication Services,,,
AT&T Inc,Your world. Delivered.,50,AT&T Inc.,Telecommunication Services,Integrated Telecommunication Services,3,
Australian Broadcasting Corporation,It's Your ABC.,25,Australian Broadcasting Corporation,Consumer Discretionary,,,
Autodesk Inc,Design your world.,45,Autodesk Inc.,Information Technology,Application Software,3,
Automatic Data Processing,The Business behind business.,45,Automatic Data Processing,Information Technology,Internet Software & Services,4,
