COMPANY,SLOGAN,URL,GICS_Sector,SectorId,GICS_SubIndustry,WORDS,
3M Company,Science. Applied to life.,3M Company,Industrials,5,Industrial Conglomerates,4,
A&P,"At the A&P, we watch our P's and Q's.",A&P,Consumer Staples,2,,,2015
Abbott Laboratories,Life. To the fullest.,Abbott Laboratories,Health Care,6,Health Care Equipment,4,
AbbVie,People. Passion. Possibilities.,AbbVie Inc.,Health Care,6,Pharmaceuticals,3,
Accenture plc,High performance. Delivered.,Accenture plc,Information Technology,7,IT Consulting & Other Services,3,
Activision Blizzard,We make Great Games,Activision Blizzard,Information Technology,7,Home Entertainment Software,4,
Adobe Systems Inc,A new experience in user experience.,Adobe Systems Inc,Information Technology,7,Application Software,6,
ADT Corp,Always There.,Advanced Micro Devices Inc,Information Technology,7,Semiconductors,2,
Advance Auto Parts,We’re Ready in Advance.,Advance Auto Parts,Consumer Discretionary,1,Automotive Retail,4,
Advertisements,It pays to advertise!,Advertisements,Consumer Discretionary,1,,,
AES Corp,The Power of being Global,AES Corp,Utilities,11,Independent Power Producers & Energy Traders,5,
Aetna Inc,We want you to know.,Aetna Inc,Health Care,6,Managed Health Care,5,
Affiliated Managers Group Inc,A global asset under management,Affiliated Managers Group Inc,Financials,4,Asset Management & Custody Banks,5,
AFLAC Inc,Ask about it at work.,AFLAC Inc,Financials,4,Life & Health Insurance,5,
Agilent Technologies Inc,The world’s premier measurement company.,Agilent Technologies Inc,Health Care,6,Health Care Equipment,5,
AGL Resources Inc.,Providing Tomorrow’s Energy.,AGL Resources Inc.,Health Care,6,,3,
Air Products & Chemicals Inc,We are Air Products,Air Products & Chemicals Inc,Materials,8,Industrial Gases,4,
Airgas Inc,You’ll find it with us.,Airgas Inc,Information Technology,7,,5,
Akamai Technologies Inc,"In a faster forward world, innovation doesn’t wait for technology",Akamai Technologies Inc,Information Technology,7,Internet Software & Services,10,
Alcoa Inc,Inventing the future since 1888,Alcoa Inc,Materials,8,,5,
Alexion Pharmaceuticals,Transforming patients’ lives through innovation.,Alexion Pharmaceuticals,Health Care,6,Biotechnology,5,
Alka-Seltzer,Plop Plop Fizz Fizz. Oh what a relief it is.,Alka-Seltzer,Health Care,6,,,
Allegion,Pioneering safety around the world.,Allegion,Industrials,5,Building Products,5,
Allergan plc,"Our pursuit, Life’s potential",Allergan plc,Health Care,9,,4,
Alliance Data Systems,All for Good. Good for All.,Alliance Data Systems,Information Technology,7,Data Processing & Outsourced Services,6,
Allstate Corp,You’re in good hands.,Allstate Corp,Financials,4,Property & Casualty Insurance,4,
Alphabet Inc Class A,Don’t Be Evil.,Alphabet Inc Class A,Information Technology,7,Internet Software & Services,3,
Alphabet Inc Class C,Don’t Be Evil.,Alphabet Inc Class C,Information Technology,7,Internet Software & Services,3,
Altria Group Inc,We’re A Company Moving Forward,Altria Group Inc,Consumer Staples,2,Tobacco,5,
Amazon.com Inc,Work Hard. Have Fun. Make History.,Amazon.com Inc.,Consumer Discretionary,1,Internet & Direct Marketing Retail,6,
Ameren Corp,Focused Energy. For Life,Ameren Corp,Utilities,11,Multi-Utilities,4,
American Airlines Group,Going for great.,American Airlines Group,Industrials,5,Airlines,3,
American Electric Power,"AEP, America’s Energy Partner…",American Electric Power,Utilities,11,Electric Utilities,4,
American Express Co,Don’t Leave Home Without It,American Express Co,Financials,4,Consumer Finance,5,
"American International Group, Inc.",We know money.,"American International Group, Inc.",Financials,4,Property & Casualty Insurance,3,
American Tower Corp A,Where you want to be.,American Tower Corp A,Telecommunication Services,10,Specialized REITs,5,
American Water Works Company Inc,The Authoritative Resource on Safe Water,American Water Works Company Inc,Utilities,11,Water Utilities,6,
Ameriprise Financial,Be Brilliant,Ameriprise Financial,Financials,4,Asset Management & Custody Banks,2,
AmerisourceBergen Corp,Because It’s All Right Here.,AmerisourceBergen Corp,Health Care,6,Health Care Distributors,5,
Ametek,A Leading Global Manufacturer of Electronic Instruments and Electromechanical Devices,AMETEK Inc.,Industrials,5,Electrical Components & Equipment,10,
Amgen Inc,To Serve Patients.,Amgen Inc.,Health Care,6,Biotechnology,3,
Amphenol Corp A,Connecting tomorrow.,Amphenol Corp,Information Technology,7,Electronic Components,2,
Anadarko Petroleum Corp,Bringing Excellence to the Surface.,Anadarko Petroleum Corp,Energy,3,Oil & Gas Exploration & Production,5,
"Analog Devices, Inc.",World leader in high performance signalprocessing.,"Analog Devices, Inc.",Information Technology,7,Semiconductors,7,
Anthem Inc.,"Together, we are transforming health care with trusted and caring solutions", ,Health Care,6,Managed Health Care,11,
Aon plc,Insure your vision.,Aon plc,Financials,4,Insurance Brokers,3,
Apache Corporation,Energy to Grow,Apache Corporation,Energy,3,Oil & Gas Exploration & Production,3,
Apartment Investment & Mgmt,America Comes Home to Aimco,Apartment Investment & Management,Real Estate,9,Residential REITs,5,
Apple Computer,Everything is easier on a Mac,Apple Inc.,Information Technology,7,,,
Apple Inc.,Think Different.,Apple Inc.,Information Technology,7,"Technology Hardware, Storage & Peripherals",2,
Apple Inc.,"Once you go Mac, you'll never go back.",Apple Inc.,Information Technology,7,,,
Applied Materials Inc,Apply it.,Applied Materials Inc.,Information Technology,7,Semiconductor Equipment,2,
Arby's,I'm thinking Arby's.,Arby's,Consumer Discretionary,1,,,
Archer-Daniels-Midland Co,Resourceful by nature,Archer-Daniels-Midland Co,Consumer Staples,2,Agricultural Products,3,
Assurant Inc,Assurant. On your terms.,Assurant Inc.,Financials,4,Multi-line Insurance,4,
AT&T Inc,Your world. Delivered.,AT&T Inc.,Telecommunication Services,10,Integrated Telecommunication Services,3,
Australian Broadcasting Corporation,It's Your ABC.,Australian Broadcasting Corporation,Telecommunication Services,10,,,
Autodesk Inc,Design your world.,Autodesk Inc.,Information Technology,7,Application Software,3,
Automatic Data Processing,The Business behind business.,Automatic Data Processing,Information Technology,7,Internet Software & Services,4,
AutoNation Inc,Driven to be the best,AutoNation Inc,Information Technology,7,,5,
AutoZone Inc,Get in the Zone,AutoZone Inc,Consumer Discretionary,1,Specialty Stores,4,
Avago Technologies,"Your Imagination, Our innovation",Avago Technologies,Consumer Discretionary,1,,4,
"AvalonBay Communities, Inc.",Appreciating value,"AvalonBay Communities, Inc.",Real Estate,9,Residential REITs,2,
Avery Dennison Corp,"Inspired Brands, Intelligent World",Avery Dennison Corp,Materials,8,Paper Packaging,4,
Avis Rental Cars,We Try Harder,,Consumer Discretionary,1,,,
Baker Hughes Inc,"Enabling safe, affordable energy, improving people’s lives","Baker Hughes, a GE Company",Energy,3,Oil & Gas Equipment & Services,7,
Ball Corp,Products that reflect an innovation mindset.,Ball Corp,Materials,8,Metal & Glass Containers,6,
Bank of America Corp,Think what we can do for you,Bank of America Corp,Financials,4,Diversified Banks,7,
Bard (C.R.) Inc.,Advancing Lives and the Delivery of Health Care,Bard (C.R.) Inc.,Information Technology,7,,8,
Baxalta,"Your Life, Our Inspiration",Baxalta,Consumer Discretionary,1,,4,
Baxter International Inc.,Making a meaningful difference in patients’ lives,Baxter International Inc.,Health Care,6,Health Care Equipment,7,
BB&T Corporation,More than writing checks or making deposits…,BB&T Corporation,Financials,4,Regional Banks,7,
Becton Dickinson,Helping all people live healthy lives,Becton Dickinson,Health Care,6,Health Care Equipment,6,
Bed Bath & Beyond,Everything to Entertain,Bed Bath & Beyond,Materials,8,,3,
Berkshire Hathaway,The Customer Is Always Right!,Berkshire Hathaway,Financials,4,Multi-Sector Holdings,5,
Best Buy Co. Inc.,Expert Service. Unbeatable Price.,Best Buy Co. Inc.,Consumer Discretionary,1,Computer & Electronics Retail,4,
BIOGEN IDEC Inc.,Transforming discovery into care.,Biogen Inc.,Health Care,6,Biotechnology,4,
BlackRock,Opportunity favors the prepared mind,BlackRock,Financials,4,Asset Management & Custody Banks,5,
Block H&R,You got people.,Block H&R,Financials,4,Consumer Finance,3,
BMW,The ultimate driving machine,https://www.bmwgroup.com/en.html,Industrials,5,,,
Boeing Company,Forever New Frontiers,Boeing Company,Industrials,5,Aerospace & Defense,3,
BorgWarner,Feel good about driving,BorgWarner,Consumer Discretionary,1,Auto Parts & Equipment,4,
Bose Corporation,Better sound through research.,Bose Corporation,Cusomer Discretionary,1,,,
Boston Properties,Experienced leadership.,Boston Properties,Real Estate,9,Office REITs,2,
Boston Scientific,Delivering what’s next.,Boston Scientific,Health Care,6,Health Care Equipment,3,
Bristol-Myers Squibb,extending and enhancing human life,Bristol-Myers Squibb,Health Care,6,Health Care Distributors,5,
British Rail,We're getting there.,British Rail,Industrials,5,,,
Brown-Forman Corporation,We enrich the experience of life.,Brown-Forman Corp.,Consumer Staples,2,Distillers & Vintners,6,
Brylcreem,A little dab'll do ya!,Brylcreem,Consumer Staples,2,,,
