,COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,Unnamed: 7,CSLOGANS
0,3M Company,Science. Applied to life.,20,3M Company,Industrials,Industrial Conglomerates,4.0,,scienc appli life
1,A&P,"At the A&P, we watch our P's and Q's.",30,A&P,Consumer Staples,,, ,ap watch ps qs
2,Abbott Laboratories,Life. To the fullest.,35,Abbott Laboratories,Health Care,Health Care Equipment,4.0,,life fullest
3,AbbVie,People. Passion. Possibilities.,35,AbbVie Inc.,Health Care,Pharmaceuticals,3.0,,peopl passion possibl
4,ABN AMRO Bank , Making More Possible,40,,Financials,,,,make possibl
5,Accenture plc,High performance. Delivered.,45,Accenture plc,Information Technology,IT Consulting & Other Services,3.0,,high perform deliv
6,Activision Blizzard,We make Great Games,45,Activision Blizzard,Information Technology,Home Entertainment Software,4.0,,make great game
7,Adobe Systems Inc,A new experience in user experience.,45,Adobe Systems Inc,Information Technology,Application Software,6.0,,new experi user experi
8,ADT Corp,Always There.,45,Advanced Micro Devices Inc,Information Technology,Semiconductors,2.0,,alway
9,Advance Auto Parts,We're Ready in Advance.,25,Advance Auto Parts,Consumer Discretionary,Automotive Retail,4.0,,readi advanc
10,Advertisements,It pays to advertise!,25,Advertisements,Consumer Discretionary,,,,pay advertis
11,AES Corp,The Power of being Global,10,AES Corp,Energy,Independent Power Producers & Energy Traders,5.0,,power global
12,Aetna Inc,We want you to know.,35,Aetna Inc,Health Care,Managed Health Care,5.0,,know
13,Affiliated Managers Group Inc,A global asset under management,40,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,5.0,,global asset manag
14,AFLAC Inc,Ask about it at work.,40,AFLAC Inc,Financials,Life & Health Insurance,5.0,,ask work
15,Agilent Technologies Inc,The world's premier measurement company.,35,Agilent Technologies Inc,Health Care,Health Care Equipment,5.0,,world premier measur compani
16,AGL Resources Inc.,Providing Tomorrow's Energy.,55,AGL Resources Inc.,Utilities,,3.0,,provid tomorrow energi
17,AIG or American International Group Insurance Company , We know Money,40,,Financials,,,,know money
18,Air Canada , A breath of Fresh Air,20,,Industrials,,,,breath fresh air
19,Air India, Moving India Forward,20,,Industrials,,,,move india forward
20,Air Products & Chemicals Inc,We are Air Products,15,Air Products & Chemicals Inc,Materials,Industrial Gases,4.0,,air product
21,Air Sahara, EMOTIONALLY YOURS,20,,Industrials,,,,emot
22,Airgas Inc,You'll find it with us.,15,Airgas Inc,Materials,,5.0,,youll find us
23,Airtel, Express Yourself,50,,Telecommunication Services,,,,express
24,AKAI, Land of rising technology,25,,Consumer Discretionary,,,,land rise technolog
25,Akamai Technologies Inc,"In a faster forward world, innovation doesn't wait for technology",45,Akamai Technologies Inc,Information Technology,Internet Software & Services,10.0,,faster forward world innov doesnt wait technolog
26,Alcoa Inc,Inventing the future since 1888,15,Alcoa Inc,Materials,,5.0,,invent futur sinc 1888
27,Alexion Pharmaceuticals,Transforming patients' lives through innovation.,35,Alexion Pharmaceuticals,Health Care,Biotechnology,5.0,,transform patient live innov
28,Alka-Seltzer,Plop Plop Fizz Fizz. Oh what a relief it is.,35,Alka-Seltzer,Health Care,,,,plop plop fizz fizz oh relief
29,Allegion,Pioneering safety around the world.,20,Allegion,Industrials,Building Products,5.0,,pioneer safeti around world
30,Allen Solly, Friday Dressing,25,,Consumer Discretionary,,,,friday dress
31,Allergan plc,"Our pursuit, Life's potential",35,Allergan plc,Health Care,,4.0,,pursuit life potenti
32,Alliance Data Systems,All for Good. Good for All.,45,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,6.0,,good good
33,Allianz Insurance, THE POWER ON YOUR SIDE,40,,Financials,,,,power side
34,Allstate Corp,You're in good hands.,40,Allstate Corp,Financials,Property & Casualty Insurance,4.0,,good hand
